5123|93878715|82021|B|Bank of America, N.A.|Bank of America, N.A.|FANNIE MAE|5.25|5.25|177000.0|144067.96|135755.02|360|92009|112009|142.0|218.0|216.0|102039.0|93.0|104|1.0||730.0||N|R|PU|1|P|NC|39580|275.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||379.05|379.05|0.0|||||||||||||||||||794.0||812.0|||N||0.0||0.0|N||N||||||N|||||||||||||N||7|N|CAS 2019-HRP1||7||
5103|91390255|82021|C|JPMorgan Chase Bank, National Association|JPMorgan Chase Bank, NA|FANNIE MAE|5.75|5.75|48000.0|47000.0|45490.79|360|32018|52018|40.0|320.0|320.0|42048.0|80.0|80|1.0|45.0|701.0||N|P|SF|1|I|AL|19460|356.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||59.99|59.99|0.0|||||||||||||||||||714.0||652.0|||N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2018 R07 G1||7||
1388|25278740|82021|C|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|3.75|3.75|194000.0|188357.18|123006.06|360|42013|62013|99.0|261.0|176.0|52043.0|95.0|95|2.0|32.0|792.0|789.0|N|R|SF|1|P|MI|19820|483.0|30.0|FRM|N|N|||0.0|000000000000000001020000000000000000000000000000|N|Y|||||0.0|0.0|0.0|||||||||||||||||||789.0|809.0||727.0|1.0|N||||0.0||0.0|N||||||N|||||||||||||N||7|N|CAS 2014 C03 G2||C|1.0|1795.04
5228|125618945|82021|R|Other|Other|FANNIE MAE|3.0|3.0|416000.0|404421.64|404421.64|360|92020|112020|10.0|350.0|345.0|102050.0|75.0|75|2.0|29.0|771.0|808.0|N|R|SF|1|P|MN|33460|553.0||FRM|N|N|||0.0|XXXXXXXXXXXXXXXXXXXXXXXXXX0000000000000000000000|N|||||||||||||||||||||||||||792.0|792.0|792.0|792.0||N||0.0||0.0|N||N|||||W|N|||||||||||||N||7|N|CAS 2021 R01 G1||7||
5115|92620418|82021|R|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|5.875|5.875|146000.0|145000.0|140905.59|360|102018|122018|33.0|327.0|327.0|112048.0|75.0|75|1.0|42.0|736.0||N|C|PU|1|I|NC|20500|277.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||0.0|0.0|0.0|||||||||||||||||||684.0||747.0|||N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2019 R05 G1||7||
1372|23070680|82021|R|Other|New Residential Mortgage LLC|FANNIE MAE|4.375|4.375|95000.0|84437.2|28361.53|360|92012|112012|106.0|254.0|68.0|102042.0|80.0|80|1.0|13.0|744.0||N|P|SF|1|I|SC|43900|293.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||370.57|370.57|0.0|||||||||||||||||||773.0||712.0|||N||||0.0|||N||||||N|||||||||||||N||7|N|CAS 2013 C01 G1||7||
5124|94983032|82021|R|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|4.625|4.625|314000.0|312000.0|302541.61|360|52019|72019|26.0|334.0|334.0|62049.0|68.0|68|2.0|38.0|781.0|794.0|N|C|SF|1|P|CA|37100|930.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||444.48|444.48|0.0|||||||||||||||||||808.0|796.0|802.0|797.0||N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2020 R01 G1||7||
1518|90559163|82021|B|Freedom Mortgage Corp.|Matrix Financial Services Corporation|FANNIE MAE|4.75|4.75|233000.0|232000.0|218331.29|360|112017|12018|44.0|316.0|315.0|122047.0|95.0|95|1.0|39.0|717.0||Y|P|PU|1|P|MO|28140|641.0|30.0|FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N|N|||||348.53|348.53|0.0|||||||||||||||||||698.0||802.0||2.0|N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2018 C04 G2||7||
1473|40784200|82021|R|Other|Other|FANNIE MAE|4.25|4.25|182000.0|180478.27|165265.39|360|72016|92016|60.0|300.0|300.0|82046.0|70.0|70|1.0|45.0|745.0||N|C|SF|3|I|WA|38900|986.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||308.92|308.92|0.0|||||||||||||||||||796.0||807.0|||N||0.0||0.0|||N||||||N|||||||||||||N||7|N|CAS 2017 C03 G1||7||
5128|95324644|82021|R|Other|Other|FANNIE MAE|3.875|3.875|297000.0|296000.0|285958.04|360|82019|102019|23.0|337.0|336.0|92049.0|95.0|95|2.0|43.0|699.0|758.0|N|P|SF|1|P|NM|10740|871.0|30.0|FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N|N|||||0.0|0.0|0.0|||||||||||||||||||688.0|769.0|707.0|792.0|1.0|N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2020 R02 G2||7||
1387|25211331|82021|R|Other|Wells Fargo Bank, N.A.|FANNIE MAE|4.125|4.125|175000.0|172181.03|145799.57|360|42013|62013|99.0|261.0|260.0|52043.0|80.0|80|1.0|39.0|788.0||N|P|SF|1|I|NY|35620|109.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||346.73|346.73|0.0|||||||||||||||||||797.0||807.0|||N||||0.0|||N||||||N|||||||||||||N||7|N|CAS 2014 C03 G1||7||
1469|39509158|82021|C|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|3.875|3.875|209000.0|207461.82|188428.09|360|72016|92016|60.0|300.0|300.0|82046.0|95.0|95|1.0|42.0|750.0||N|P|PU|1|P|SC|16700|294.0|30.0|FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N|N|||||373.34|376.6|3.26|||||||||||||||||||719.0||667.0||1.0|N||0.0||0.0|||N||||||N|||||||||||||N||7|N|CAS 2017 C02 G2||7||
5228|125581224|82021|R|Amerisave Mortgage Corporation|Amerisave Mortgage Corporation|FANNIE MAE|2.25|2.25|188000.0|184483.58|184483.58|360|102020|122020|9.0|351.0|351.0|112050.0|61.0|61|1.0|42.0|815.0||N|R|PU|1|P|FL|35840|342.0||FRM|N|N|||0.0|XXXXXXXXXXXXXXXXXXXXXXXXXXXX00000000000000000000|N|||||||||||||||||||||||||||812.0||812.0|||N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2021 R01 G1||7||
1449|34494535|82021|C|Other|Other|FANNIE MAE|4.375|4.375|99000.0|97940.25|88136.0|360|62015|82015|73.0|287.0|287.0|72045.0|75.0|75|2.0|18.0|775.0|766.0|N|P|SF|1|I|TN|28940|379.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||173.83|173.83|0.0|||||||||||||||||||768.0|761.0|727.0|752.0||N||0.0||0.0|||N||||||N|||||||||||||N||7|N|CAS 2016 C04 G1||7||
1519|90668240|82021|C|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|3.875|3.875|424000.0|417000.0|267753.74|360|112017|12018|44.0|316.0|177.0|122047.0|66.0|81|2.0|47.0|786.0|769.0|N|P|PU|1|P|MS|27140|391.0||FRM|N|N|||0.0|000000000000000000000000000000000000000000000000|N||||||1124.86|1487.39|362.53|||||||||||||||||||782.0|770.0|797.0|802.0||N||0.0||0.0|N||N|||||A|N|||||||||||||N||7|N|CAS 2018 C05 G1||7||
